,Problem_num,accuracy,tr_code_concat,gen_code_concat,true_code_size,gen_code_size,num_stims_seen,stims_seen,passed_tests,failed_tests,tr_code_full,gen_code_full,log_probs,true_accuracy,encoded
2,1,0.3333333333333333,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square' or shape == 'triangle'),16,81,3,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square' or shape == 'triangle')",-2.87489867621,9,0.0
2,1,0.3333333333333333,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square' or shape == 'triangle'),16,81,3,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square' or shape == 'triangle')",-2.8779997863,9,0.0
2,1,0.3333333333333333,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square' or shape == 'triangle'),16,81,3,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square' or shape == 'triangle')",-2.8814434509,9,0.0
2,1,0.5555555555555556,color  ==  'red',(color == 'red' or (not (shape == 'triangle'))),16,47,3,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'triangle')))",-3.85076808957,9,0.0
2,1,0.5555555555555556,color  ==  'red',(color == 'red' or (not (shape == 'triangle'))),16,47,3,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'triangle')))",-3.85288359983,9,0.0
3,1,0.4444444444444444,color  ==  'red',(color == 'red' or (not (shape == 'triangle')) or (not (color == 'blue'))),16,74,4,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'triangle')) or (not (color == 'blue')))",-4.283028886670001,9,0.0
3,1,0.4444444444444444,color  ==  'red',(color == 'red' or (not (shape == 'triangle')) or (not (color == 'blue'))),16,74,4,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'triangle')) or (not (color == 'blue')))",-4.286159711460001,9,0.0
3,1,0.4444444444444444,color  ==  'red',(color == 'red' or (not (shape == 'triangle')) or (not (color == 'blue'))),16,74,4,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'triangle')) or (not (color == 'blue')))",-4.293796746699999,9,0.0
3,1,0.5555555555555556,color  ==  'red',(color == 'red' or (not (shape == 'triangle'))),16,47,4,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'triangle')))",-3.52519968508,9,0.0
3,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'circle'),16,37,4,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle')",-3.7611079984299995,9,0.0
4,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,5,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.7742895323999996,9,0.0
4,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,5,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.7754209416999998,9,0.0
4,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'circle' or shape == 'square'),16,58,5,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'circle' or shape == 'square')",-2.7774235209700002,9,0.0
4,1,0.5555555555555556,color  ==  'red',(color == 'red' or (not (shape == 'square'))),16,45,5,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'square') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'square')))",-3.7514506122499998,9,0.0
4,1,0.7777777777777778,color  ==  'red',(color == 'red' or shape == 'square'),16,37,5,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square')",-4.0596800891,9,0.0
5,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'square' or shape == 'triangle'),16,60,6,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square' or shape == 'triangle')",-3.3522924216000005,9,0.0
5,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'square' or shape == 'triangle'),16,60,6,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square' or shape == 'triangle')",-3.3609409588000005,9,0.0
5,1,0.5555555555555556,color  ==  'red',(color == 'red' or (not (shape == 'triangle'))),16,47,6,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (not (shape == 'triangle')))",-3.6923345518999984,9,0.0
5,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'square' or (not (shape == 'triangle'))),16,68,6,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'triangle') == False""]","[""assert categorize('blue', 'circle') == False"", ""assert categorize('blue', 'square') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square' or (not (shape == 'triangle')))",-6.636523694889999,9,0.0
5,1,0.5555555555555556,color  ==  'red',(color == 'red' or (shape == 'square' or shape == 'triangle')),16,62,6,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or (shape == 'square' or shape == 'triangle'))",-7.11870309923,9,0.0
6,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'square' or shape == 'triangle'),16,60,7,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}, {'shape': 'circle', 'color': 'green'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square' or shape == 'triangle')",-3.1796898693399993,9,0.0
6,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'square' or shape == 'triangle'),16,60,7,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}, {'shape': 'circle', 'color': 'green'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square' or shape == 'triangle')",-3.1878869900300004,9,0.0
6,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape == 'square' or shape == 'triangle'),16,60,7,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}, {'shape': 'circle', 'color': 'green'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square' or shape == 'triangle')",-3.1878873600300004,9,0.0
6,1,0.5555555555555556,color  ==  'red',(color == 'red' or shape != 'circle'),16,37,7,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}, {'shape': 'circle', 'color': 'green'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False"", ""assert categorize('green', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape != 'circle')",-4.2917632043,9,0.0
6,1,0.4444444444444444,color  ==  'red',(color == 'red' or shape == 'square' or shape == 'triangle') or (color == 'green' and shape == 'circle'),16,104,7,"[{'shape': 'circle', 'color': 'red'}, {'shape': 'square', 'color': 'red'}, {'shape': 'triangle', 'color': 'red'}, {'shape': 'circle', 'color': 'blue'}, {'shape': 'square', 'color': 'blue'}, {'shape': 'triangle', 'color': 'blue'}, {'shape': 'circle', 'color': 'green'}]","[""assert categorize('red', 'circle') == True"", ""assert categorize('red', 'square') == True"", ""assert categorize('red', 'triangle') == True"", ""assert categorize('blue', 'circle') == False""]","[""assert categorize('blue', 'square') == False"", ""assert categorize('blue', 'triangle') == False"", ""assert categorize('green', 'circle') == False"", ""assert categorize('green', 'square') == False"", ""assert categorize('green', 'triangle') == False""]",lambda x: x['color'] == 'red',"def categorize(color, shape):
	return (color == 'red' or shape == 'square' or shape == 'triangle') or (color == 'green' and shape == 'circle')",-7.444578248339997,9,0.0
